Time_s,Signal,Primary,Secondary,Amplitude,TrueFreq_Primary_Hz,TrueFreq_Secondary_Hz
0,0,0,0,1,0.8,5
0.01,0.204732341109436,0.0502392939991648,0.154493047110272,0.999900004999833,0.8,5
0.02,0.394175498013813,0.100341644515345,0.293833853498468,0.999800019998667,0.8,5
0.03,0.554567691042876,0.150180528203496,0.40438716283938,0.9997000449955,0.8,5
0.04,0.674968197378376,0.19963011249687,0.475338084881507,0.999600079989334,0.8,5
0.05,0.748315635791913,0.248565573302328,0.499750062489585,0.999500124979169,0.8,5
0.06,0.77210643685554,0.296863410084881,0.475243026770658,0.999400179964005,0.8,5
0.07,0.748627197867016,0.344401757546112,0.404225440320904,0.999300244942843,0.8,5
0.08,0.684718299175802,0.391060693109916,0.293657606065886,0.999200319914684,0.8,5
0.09,0.591092041536913,0.436722539439735,0.154369502097178,0.999100404878527,0.8,5
0.1,0.481272161224179,0.481272161224178,6.11711382233774e-17,0.999000499833375,0.8,5
0.11,0.370258624198578,0.52459725548252,-0.154338631283943,0.998900604778228,0.8,5
0.12,0.273048468145187,0.566588634658123,-0.293540166512936,0.998800719712086,0.8,5
0.13,0.203157523983432,0.607140501786172,-0.403982977802741,0.998700844633952,0.8,5
0.14,0.171287732655808,0.646150717042273,-0.474862984386464,0.998600979542827,0.8,5
0.15,0.184270492781521,0.683521055000376,-0.499250562218855,0.998501124437711,0.8,5
0.16,0.24438943066589,0.719157451952104,-0.474768021286214,0.998401279317606,0.8,5
0.17,0.349148825738805,0.752970242664754,-0.403821416925949,0.998301444181515,0.8,5
0.18,0.491510290742412,0.784874385982105,-0.293364095239693,0.998201619028437,0.8,5
0.19,0.66057446894629,0.8147896787004,-0.15421520975411,0.998101803857376,0.8,5
0.2,0.842640957181654,0.842640957181654,-1.22219995321061e-16,0.998001998667333,0.8,5
0.21,1.02254265599373,0.868358286197475,0.154184369796257,0.99790220345731,0.8,5
0.22,1.18512390759657,0.891877134528979,0.293246773067595,0.997802418226309,0.8,5
0.23,1.31671773363101,0.913138536881901,0.403579196749113,0.997702642973332,0.8,5
0.24,1.40647760046511,0.932089241710668,0.474388358754446,0.997602877697382,0.8,5
0.25,1.4474334057796,0.948681844580867,0.49875156119873,0.99750312239746,0.8,5
0.26,1.43716839730599,0.962874906736159,0.47429349056983,0.99740337707257,0.8,5
0.27,1.37805085592555,0.974633058573105,0.403417797352445,0.997303641721713,0.8,5
0.28,1.27699796554318,0.983927087765558,0.293070877777619,0.997203916343893,0.8,5
0.29,1.14479508344539,0.990734011819123,0.154061071626265,0.997104200938112,0.8,5
0.3,0.995037134875511,0.995037134875511,1.83146754623059e-16,0.997004495503373,0.8,5
0.31,0.842795826133517,0.996826088626472,-0.154030262492955,0.996904800038679,0.8,5
0.32,0.703143184368098,0.996096857237149,-0.292953672869052,0.996805114543033,0.8,5
0.33,0.589675966944363,0.992851786219079,-0.403175819274716,0.996705439015438,0.8,5
0.34,0.513185367722826,0.987099575233652,-0.473914207510826,0.996605773454898,0.8,5
0.35,0.480602195917218,0.978855254847425,-0.498253058930207,0.996506117860415,0.8,5
0.36,0.494320713154221,0.968140147301197,-0.473819434146976,0.996406472230993,0.8,5
0.37,0.551967230198365,0.954981811395136,-0.403014581196772,0.996306836565637,0.8,5
0.38,0.646636018245917,0.939413971632365,-0.292777953386447,0.996207210863348,0.8,5
0.39,0.767569344243592,0.921476431803096,-0.153907087559504,0.996107595123132,0.8,5
0.4,0.90121497323073,0.90121497323073,-2.43951599215062e-16,0.996007989343991,0.8,5
0.41,1.0325575471599,0.878681237939975,0.153876309219929,0.995908393524931,0.8,5
0.42,1.14659346266932,0.853932597045116,0.292660865624206,0.995808807664954,0.8,5
0.43,1.22980484966999,0.827032004693816,0.402772844976172,0.995709231763066,0.8,5
0.44,1.2714883681197,0.798047837938252,0.473440530181453,0.99560966581827,0.8,5
0.45,1.26480877785565,0.767053722940864,0.497755054914785,0.995510109829571,0.8,5
0.46,1.20747419950002,0.734128347956425,0.473345851543596,0.995410563795972,0.8,5
0.47,1.10196703162116,0.699355263565446,0.402611768055713,0.99531102771648,0.8,5
0.48,0.95530799243932,0.662822670666066,0.292485321773253,0.995211501590097,0.8,5
0.49,0.778376454162197,0.624623196762354,0.153753257399843,0.99511198541583,0.8,5
0.5,0.58485366111643,0.58485366111643,3.04634711938748e-16,0.995012479192682,0.8,5
0.51,0.389892319536607,0.543614829359831,-0.153722509823224,0.99491298291966,0.8,5
0.52,0.208642807145776,0.501011158186026,-0.29236835104025,0.994813496595767,0.8,5
0.53,0.0547802573204452,0.457150530770952,-0.402370273450506,0.994714020220009,0.8,5
0.54,-0.060823342700966,0.412143983591684,-0.472967326292649,0.994614553791391,0.8,5
0.55,-0.131152123319455,0.366105425335005,-0.49725754865446,0.994515097308919,0.8,5
0.56,-0.153721393678685,0.319151348607422,-0.472872742286107,0.994415650771598,0.8,5
0.57,-0.130808822350193,0.271400535176262,-0.402209357526456,0.994316214178433,0.8,5
0.58,-0.0692192271577551,0.222973755487651,-0.292192982645406,0.994216787528431,0.8,5
0.59,0.0203938822280258,0.17399346322148,-0.153599580993454,0.994117370820596,0.8,5
0.6,0.124583485655886,0.124583485655886,-3.65196275392086e-16,0.994017964053935,0.8,5
0.61,0.228437574773184,0.0748687106241443,0.15356886414904,0.993918567227454,0.8,5
0.62,0.317050899680037,0.0249747708553679,0.292076128824669,0.993819180340158,0.8,5
0.63,0.376995830791996,-0.0249722735031518,0.401968104295148,0.993719803391055,0.8,5
0.64,0.3976483419915,-0.0748462533797119,0.472494595371212,0.993620436379149,0.8,5
0.65,0.372239330168325,-0.124521209483399,0.496760539651724,0.993521079303448,0.8,5
0.66,0.298528395485722,-0.173871710415678,0.4724001059014,0.993421732162957,0.8,5
0.67,0.179034179821593,-0.222773169384997,0.40180734920659,0.993322394956684,0.8,5
